,PROD_CD,SLSMAN_CD,PLAN_MONTH,TARGET_IN_EA,ACH_IN_EA
0,13,93,12,900,863
1,80,198,10,696,1045
2,38,134,11,108,130
3,23,131,11,108,94
4,5,208,10,240,203
5,5,216,10,160,117
6,19,206,12,672,597
7,15,132,11,11424,10079
8,22,121,10,19600,4129
10,79,221,11,0,174
11,15,79,10,6396,7848
13,25,190,11,612,619
15,56,65,11,0,72
16,58,83,10,21168,14519
17,22,186,12,8400,9120
18,58,126,11,10416,12468
19,36,45,10,24,7
20,58,39,12,4368,5571
21,59,54,12,462,231
22,7,199,11,0,3407
24,56,15,10,288,388
25,15,68,12,1404,1880
27,86,97,12,0,51
29,8,186,11,0,24
30,36,80,12,24,20
31,13,2,12,3924,4153
32,35,16,11,2400,4097
33,3,148,11,120,0
34,13,107,11,2520,2342
35,33,206,10,252,0
36,18,90,11,7044,1489
37,23,211,12,252,200
38,43,117,12,0,12999
40,23,48,10,108,117
41,39,169,10,360,399
42,81,6,11,120,48
43,35,143,11,6240,5388
44,85,90,12,0,101
45,59,206,11,504,746
47,27,138,10,216,186
48,38,18,12,144,81
49,56,39,11,180,99
50,20,211,12,48,24
52,27,206,10,144,151
53,28,43,12,0,36
54,5,111,11,240,107
55,42,51,12,0,3
56,11,156,11,108,122
57,43,184,12,9648,9422
58,36,29,11,24,15
59,82,63,11,0,216
60,25,47,10,648,690
61,37,217,11,180,172
63,59,141,11,2520,2922
64,38,98,12,144,103
66,23,84,12,108,179
67,42,29,12,108,134
68,26,45,10,252,264
69,35,159,11,2688,4205
70,35,48,11,17472,15856
71,18,98,11,372,242
72,26,39,11,36,19
73,11,154,10,144,167
76,61,42,11,2940,3849
77,17,8,11,3708,1116
78,86,27,12,0,22
79,28,146,11,0,6
81,18,163,10,7392,7841
83,42,100,12,108,118
84,50,19,11,46512,42919
86,11,17,10,252,124
87,27,131,12,144,137
88,16,37,11,16236,5367
89,37,114,11,108,208
91,32,31,10,324,312
92,31,44,10,5600,800
93,19,60,12,34104,21342
95,18,9,11,1272,101
96,83,85,11,0,7038
97,37,10,12,144,88
98,47,16,12,1128,794
99,51,102,11,0,785
100,15,191,12,1596,1656
102,10,23,10,0,200
104,33,159,11,5472,4706
105,58,132,12,24864,28179
106,80,191,11,720,402
107,37,74,12,144,118
108,56,152,11,180,181
110,59,134,12,1260,860
111,80,123,11,792,685
112,33,70,10,5796,2880
113,37,102,12,36,73
116,11,1,11,540,296
117,61,71,11,0,91
118,21,113,10,12,0
119,47,166,11,768,1208
120,61,86,11,2814,4490
121,61,139,10,6636,5488
122,22,83,12,12800,11500
123,39,25,12,360,208
125,61,99,11,6846,3338
126,18,139,10,8832,9774
127,22,31,11,17200,38740
130,36,39,11,48,11
133,18,11,11,852,156
134,36,108,12,24,12
135,22,7,10,13600,1950
136,47,169,12,1464,1863
137,45,45,10,1344,561
138,45,94,12,624,729
139,43,115,12,0,3938
140,26,193,12,96,170
141,58,136,10,24696,27900
142,51,186,11,0,1300
144,18,23,10,1704,2775
145,36,21,12,24,28
147,15,178,11,2604,2647
148,37,100,10,72,91
149,38,137,11,0,1
150,26,103,10,180,143
152,3,32,10,40,0
154,35,66,10,14592,17316
155,22,191,12,1200,1977
157,31,94,11,60400,232000
159,17,33,12,7416,0
160,43,2,11,0,3393
161,2,170,10,0,28
162,36,57,11,48,84
163,81,119,11,192,143
164,5,122,11,400,212
165,18,117,10,3096,2895
166,14,53,11,18468,19135
167,35,25,11,9216,8521
168,45,172,11,384,288
169,3,48,12,320,0
170,56,144,11,468,622
171,86,214,12,0,13
172,22,48,12,53600,64760
173,82,140,12,4158,2446
174,84,4,12,0,101
175,36,210,10,24,42
177,15,186,11,3372,3253
179,15,8,10,2820,2960
180,47,193,10,1440,1186
181,15,192,10,1896,1999
182,42,150,12,108,91
184,19,99,10,5544,9292
185,10,23,11,0,54
186,15,37,11,2148,1939
188,80,132,12,1032,556
189,62,177,11,0,19
191,32,56,12,48,35
193,38,132,11,180,174
194,61,132,12,0,198
